Epoch 126/300 | Total   0.6658 | CE   0.2009 | KL   0.9786
Epoch 127/300 | Total   0.6679 | CE   0.2017 | KL   0.9754
Epoch 128/300 | Total   0.6705 | CE   0.2032 | KL   0.9713
Epoch 129/300 | Total   0.6728 | CE   0.2036 | KL   0.9695
Epoch 130/300 | Total   0.6749 | CE   0.2051 | KL   0.9647
Epoch 131/300 | Total   0.6780 | CE   0.2065 | KL   0.9623
Epoch 132/300 | Total   0.6806 | CE   0.2083 | KL   0.9579
Epoch 133/300 | Total   0.6832 | CE   0.2103 | KL   0.9535
Epoch 134/300 | Total   0.6856 | CE   0.2121 | KL   0.9489
Epoch 135/300 | Total   0.6882 | CE   0.2132 | KL   0.9462
Epoch 136/300 | Total   0.6911 | CE   0.2148 | KL   0.9430
Epoch 137/300 | Total   0.6936 | CE   0.2163 | KL   0.9396
Epoch 138/300 | Total   0.6959 | CE   0.2184 | KL   0.9345
Epoch 139/300 | Total   0.6984 | CE   0.2198 | KL   0.9310
Epoch 140/300 | Total   0.7013 | CE   0.2218 | KL   0.9275
Epoch 141/300 | Total   0.7031 | CE   0.2230 | KL   0.9233
Epoch 142/300 | Total   0.7057 | CE   0.2245 | KL   0.9200
Epoch 143/300 | Total   0.7086 | CE   0.2263 | KL   0.9168
Epoch 144/300 | Total   0.7105 | CE   0.2274 | KL   0.9132
Epoch 145/300 | Total   0.7132 | CE   0.2301 | KL   0.9081
Epoch 146/300 | Total   0.7153 | CE   0.2312 | KL   0.9047
Epoch 147/300 | Total   0.7184 | CE   0.2340 | KL   0.9003
Epoch 148/300 | Total   0.7206 | CE   0.2351 | KL   0.8975
Epoch 149/300 | Total   0.7225 | CE   0.2365 | KL   0.8933
Epoch 150/300 | Total   0.7255 | CE   0.2393 | KL   0.8888
Epoch 151/300 | Total   0.7280 | CE   0.2411 | KL   0.8852
Epoch 152/300 | Total   0.7296 | CE   0.2427 | KL   0.8804
Epoch 153/300 | Total   0.7328 | CE   0.2447 | KL   0.8779
Epoch 154/300 | Total   0.7344 | CE   0.2465 | KL   0.8729
Epoch 155/300 | Total   0.7374 | CE   0.2481 | KL   0.8707
Epoch 156/300 | Total   0.7391 | CE   0.2499 | KL   0.8658
Epoch 157/300 | Total   0.7421 | CE   0.2526 | KL   0.8618
Epoch 158/300 | Total   0.7442 | CE   0.2544 | KL   0.8578
Epoch 159/300 | Total   0.7462 | CE   0.2564 | KL   0.8534
Epoch 160/300 | Total   0.7478 | CE   0.2580 | KL   0.8490
Epoch 161/300 | Total   0.7514 | CE   0.2606 | KL   0.8462
Epoch 162/300 | Total   0.7533 | CE   0.2623 | KL   0.8422
Epoch 163/300 | Total   0.7553 | CE   0.2647 | KL   0.8372
