Epoch 166/300 | Total   1.2118 | CE   0.2713 | KL   1.5808
Epoch 167/300 | Total   1.2158 | CE   0.2733 | KL   1.5760
Epoch 168/300 | Total   1.2209 | CE   0.2751 | KL   1.5737
Epoch 169/300 | Total   1.2249 | CE   0.2782 | KL   1.5674
Epoch 170/300 | Total   1.2283 | CE   0.2793 | KL   1.5633
Epoch 171/300 | Total   1.2335 | CE   0.2815 | KL   1.5607
Epoch 172/300 | Total   1.2353 | CE   0.2821 | KL   1.5550
Epoch 173/300 | Total   1.2393 | CE   0.2840 | KL   1.5508
Epoch 174/300 | Total   1.2443 | CE   0.2862 | KL   1.5478
Epoch 175/300 | Total   1.2479 | CE   0.2884 | KL   1.5427
Epoch 176/300 | Total   1.2516 | CE   0.2903 | KL   1.5381
Epoch 177/300 | Total   1.2546 | CE   0.2910 | KL   1.5344
Epoch 178/300 | Total   1.2592 | CE   0.2938 | KL   1.5299
Epoch 179/300 | Total   1.2625 | CE   0.2956 | KL   1.5251
Epoch 180/300 | Total   1.2679 | CE   0.2966 | KL   1.5248
Epoch 181/300 | Total   1.2717 | CE   0.2997 | KL   1.5188
Epoch 182/300 | Total   1.2754 | CE   0.3020 | KL   1.5139
Epoch 183/300 | Total   1.2775 | CE   0.3029 | KL   1.5087
Epoch 184/300 | Total   1.2814 | CE   0.3047 | KL   1.5049
Epoch 185/300 | Total   1.2855 | CE   0.3078 | KL   1.4995
Epoch 186/300 | Total   1.2897 | CE   0.3093 | KL   1.4968
Epoch 187/300 | Total   1.2934 | CE   0.3104 | KL   1.4939
Epoch 188/300 | Total   1.2974 | CE   0.3132 | KL   1.4889
Epoch 189/300 | Total   1.3012 | CE   0.3154 | KL   1.4847
Epoch 190/300 | Total   1.3044 | CE   0.3171 | KL   1.4802
Epoch 191/300 | Total   1.3088 | CE   0.3191 | KL   1.4772
Epoch 192/300 | Total   1.3115 | CE   0.3212 | KL   1.4714
Epoch 193/300 | Total   1.3159 | CE   0.3239 | KL   1.4675
Epoch 194/300 | Total   1.3179 | CE   0.3259 | KL   1.4611
Epoch 195/300 | Total   1.3231 | CE   0.3279 | KL   1.4592
Epoch 196/300 | Total   1.3269 | CE   0.3303 | KL   1.4549
Epoch 197/300 | Total   1.3296 | CE   0.3314 | KL   1.4509
Epoch 198/300 | Total   1.3324 | CE   0.3326 | KL   1.4470
Epoch 199/300 | Total   1.3369 | CE   0.3363 | KL   1.4417
Epoch 200/300 | Total   1.3400 | CE   0.3388 | KL   1.4364
Epoch 201/300 | Total   1.3450 | CE   0.3418 | KL   1.4331
Epoch 202/300 | Total   1.3491 | CE   0.3422 | KL   1.4323
Epoch 203/300 | Total   1.3520 | CE   0.3463 | KL   1.4244
Epoch 204/300 | Total   1.3545 | CE   0.3478 | KL   1.4198
Epoch 205/300 | Total   1.3588 | CE   0.3501 | KL   1.4167
Epoch 206/300 | Total   1.3620 | CE   0.3513 | KL   1.4137
Epoch 207/300 | Total   1.3659 | CE   0.3538 | KL   1.4097
Epoch 208/300 | Total   1.3700 | CE   0.3564 | KL   1.4059
Epoch 209/300 | Total   1.3716 | CE   0.3590 | KL   1.3986
Epoch 210/300 | Total   1.3770 | CE   0.3628 | KL   1.3951
Epoch 211/300 | Total   1.3792 | CE   0.3635 | KL   1.3913
Epoch 212/300 | Total   1.3833 | CE   0.3664 | KL   1.3873
Epoch 213/300 | Total   1.3862 | CE   0.3695 | KL   1.3814
Epoch 214/300 | Total   1.3901 | CE   0.3718 | KL   1.3779
Epoch 215/300 | Total   1.3925 | CE   0.3739 | KL   1.3728
Epoch 216/300 | Total   1.3961 | CE   0.3763 | KL   1.3689
Epoch 217/300 | Total   1.4015 | CE   0.3793 | KL   1.3665
Epoch 218/300 | Total   1.4038 | CE   0.3808 | KL   1.3622
Epoch 219/300 | Total   1.4062 | CE   0.3833 | KL   1.3566
Epoch 220/300 | Total   1.4098 | CE   0.3856 | KL   1.3529
Epoch 221/300 | Total   1.4139 | CE   0.3886 | KL   1.3491
Epoch 222/300 | Total   1.4169 | CE   0.3907 | KL   1.3450
Epoch 223/300 | Total   1.4201 | CE   0.3928 | KL   1.3411
Epoch 224/300 | Total   1.4241 | CE   0.3965 | KL   1.3363
Epoch 225/300 | Total   1.4283 | CE   0.3993 | KL   1.3330
Epoch 226/300 | Total   1.4305 | CE   0.4017 | KL   1.3275
Epoch 227/300 | Total   1.4348 | CE   0.4046 | KL   1.3242
Epoch 228/300 | Total   1.4365 | CE   0.4065 | KL   1.3187
Epoch 229/300 | Total   1.4407 | CE   0.4096 | KL   1.3152
Epoch 230/300 | Total   1.4423 | CE   0.4123 | KL   1.3088
Epoch 231/300 | Total   1.4482 | CE   0.4150 | KL   1.3079
Epoch 232/300 | Total   1.4517 | CE   0.4182 | KL   1.3033
Epoch 233/300 | Total   1.4554 | CE   0.4218 | KL   1.2984
Epoch 234/300 | Total   1.4578 | CE   0.4236 | KL   1.2944
Epoch 235/300 | Total   1.4606 | CE   0.4259 | KL   1.2901
Epoch 236/300 | Total   1.4637 | CE   0.4292 | KL   1.2851
Epoch 237/300 | Total   1.4681 | CE   0.4324 | KL   1.2819
Epoch 238/300 | Total   1.4701 | CE   0.4356 | KL   1.2756
Epoch 239/300 | Total   1.4741 | CE   0.4382 | KL   1.2726
Epoch 240/300 | Total   1.4755 | CE   0.4406 | KL   1.2667
Epoch 241/300 | Total   1.4813 | CE   0.4438 | KL   1.2652
Epoch 242/300 | Total   1.4840 | CE   0.4465 | KL   1.2606
Epoch 243/300 | Total   1.4869 | CE   0.4495 | KL   1.2559
Epoch 244/300 | Total   1.4895 | CE   0.4519 | KL   1.2517
Epoch 245/300 | Total   1.4926 | CE   0.4563 | KL   1.2455
Epoch 246/300 | Total   1.4975 | CE   0.4593 | KL   1.2434
Epoch 247/300 | Total   1.4995 | CE   0.4628 | KL   1.2372
Epoch 248/300 | Total   1.5027 | CE   0.4647 | KL   1.2343
Epoch 249/300 | Total   1.5052 | CE   0.4668 | KL   1.2303
Epoch 250/300 | Total   1.5102 | CE   0.4721 | KL   1.2257
Epoch 251/300 | Total   1.5120 | CE   0.4738 | KL   1.2213
Epoch 252/300 | Total   1.5162 | CE   0.4787 | KL   1.2162
Epoch 253/300 | Total   1.5179 | CE   0.4790 | KL   1.2136
Epoch 254/300 | Total   1.5229 | CE   0.4839 | KL   1.2096
Epoch 255/300 | Total   1.5250 | CE   0.4868 | KL   1.2043
Epoch 256/300 | Total   1.5266 | CE   0.4885 | KL   1.2002
Epoch 257/300 | Total   1.5311 | CE   0.4940 | KL   1.1947
Epoch 258/300 | Total   1.5342 | CE   0.4974 | KL   1.1904
Epoch 259/300 | Total   1.5376 | CE   0.5006 | KL   1.1866
Epoch 260/300 | Total   1.5409 | CE   0.5041 | KL   1.1823
Epoch 261/300 | Total   1.5464 | CE   0.5080 | KL   1.1800
Epoch 262/300 | Total   1.5487 | CE   0.5110 | KL   1.1753
Epoch 263/300 | Total   1.5504 | CE   0.5142 | KL   1.1695
Epoch 264/300 | Total   1.5539 | CE   0.5170 | KL   1.1663
Epoch 265/300 | Total   1.5585 | CE   0.5207 | KL   1.1635
Epoch 266/300 | Total   1.5593 | CE   0.5232 | KL   1.1577
Epoch 267/300 | Total   1.5650 | CE   0.5289 | KL   1.1538
Epoch 268/300 | Total   1.5672 | CE   0.5314 | KL   1.1497
Epoch 269/300 | Total   1.5698 | CE   0.5343 | KL   1.1455
Epoch 270/300 | Total   1.5724 | CE   0.5371 | KL   1.1415
Epoch 271/300 | Total   1.5747 | CE   0.5416 | KL   1.1353
Epoch 272/300 | Total   1.5786 | CE   0.5455 | KL   1.1316
Epoch 273/300 | Total   1.5820 | CE   0.5480 | KL   1.1289
Epoch 274/300 | Total   1.5849 | CE   0.5515 | KL   1.1245
Epoch 275/300 | Total   1.5876 | CE   0.5544 | KL   1.1206
Epoch 276/300 | Total   1.5898 | CE   0.5576 | KL   1.1159
Epoch 277/300 | Total   1.5923 | CE   0.5622 | KL   1.1101
Epoch 278/300 | Total   1.5971 | CE   0.5657 | KL   1.1078
Epoch 279/300 | Total   1.5998 | CE   0.5692 | KL   1.1034
Epoch 280/300 | Total   1.6035 | CE   0.5720 | KL   1.1008
Epoch 281/300 | Total   1.6063 | CE   0.5745 | KL   1.0977
Epoch 282/300 | Total   1.6106 | CE   0.5787 | KL   1.0944
Epoch 283/300 | Total   1.6121 | CE   0.5805 | KL   1.0905
Epoch 284/300 | Total   1.6145 | CE   0.5843 | KL   1.0855
Epoch 285/300 | Total   1.6144 | CE   0.5865 | KL   1.0797
Epoch 286/300 | Total   1.6209 | CE   0.5922 | KL   1.0771
Epoch 287/300 | Total   1.6247 | CE   0.5948 | KL   1.0751
Epoch 288/300 | Total   1.6251 | CE   0.5956 | KL   1.0712
Epoch 289/300 | Total   1.6295 | CE   0.6019 | KL   1.0660
Epoch 290/300 | Total   1.6343 | CE   0.6050 | KL   1.0644
Epoch 291/300 | Total   1.6349 | CE   0.6075 | KL   1.0591
Epoch 292/300 | Total   1.6374 | CE   0.6103 | KL   1.0557
Epoch 293/300 | Total   1.6413 | CE   0.6141 | KL   1.0525
Epoch 294/300 | Total   1.6444 | CE   0.6179 | KL   1.0485
Epoch 295/300 | Total   1.6494 | CE   0.6223 | KL   1.0460
Epoch 296/300 | Total   1.6519 | CE   0.6249 | KL   1.0426
Epoch 297/300 | Total   1.6550 | CE   0.6281 | KL   1.0394
Epoch 298/300 | Total   1.6556 | CE   0.6300 | KL   1.0349
Epoch 299/300 | Total   1.6576 | CE   0.6339 | KL   1.0299
Epoch 300/300 | Total   1.6631 | CE   0.6391 | KL   1.0271

Example graph (conditioned on test entities):
[('Zaanstad', 'train_to', 'Delft'), ('Delft', 'drive_to', 'Houten'), ('Houten', 'cycle_to', 'Heerhugowaard')]

Semantic evaluation – graphs conditioned on test entities:
Semantic Evaluation Results:
Semantics: 100.0%
Novel_semantics: 100.0%
Novel: 100.0%
Known: 0.0%
Empty: 0.0%

Graph Samples (Printing only 5 samples):

Valid graphs:
Count: 0
Sample: []

Valid novel graphs:
Count: 10000
Sample: [(('Zaanstad', 'drive_to', 'Lelystad'), ('Lelystad', 'cycle_to', 'Leeuwarden'), ('Leeuwarden', 'train_to', 'Emmen')), (('Almere', 'cycle_to', 'Den Helder'), ('Den Helder', 'train_to', 'Haarlem'), ('Haarlem', 'drive_to', 'Purmerend')), (('Hilversum', 'cycle_to', 'Sittard'), ('Sittard', 'train_to', 'Zaandam'), ('Zaandam', 'drive_to', 'IJmuiden')), (('Houten', 'drive_to', 'Hoogeveen'), ('Hoogeveen', 'train_to', 'Capelle aan den IJssel'), ('Capelle aan den IJssel', 'cycle_to', 'Delft')), (('Assen', 'cycle_to', 'Lelystad'), ('Lelystad', 'drive_to', 'Purmerend'), ('Purmerend', 'train_to', 'Heerhugowaard'))]

Invalid graphs:
Count: 0
Sample: []


Example graph (random latent):
[('Heerlen', 'cycle_to', 'Almere'), ('Almere', 'drive_to', 'Roermond'), ('Roermond', 'train_to', 'Apeldoorn')]

Semantic evaluation – graphs from random latent:
Semantic Evaluation Results:
Semantics: 100.0%
Novel_semantics: 100.0%
Novel: 100.0%
Known: 0.0%
Empty: 0.0%

Graph Samples (Printing only 5 samples):

Valid graphs:
Count: 0
Sample: []

Valid novel graphs:
Count: 10000
Sample: [(('Apeldoorn', 'train_to', 'Katwijk'), ('Katwijk', 'cycle_to', 'Zwolle'), ('Zwolle', 'drive_to', 'Alphen aan den Rijn')), (('Ede', 'train_to', 'Heerlen'), ('Heerlen', 'drive_to', 'Maastricht'), ('Maastricht', 'cycle_to', 'Nieuwegein')), (('Almere', 'drive_to', 'Eindhoven'), ('Eindhoven', 'train_to', 'Maastricht'), ('Maastricht', 'cycle_to', 'Arnhem')), (('Almere', 'train_to', 'Rotterdam'), ('Rotterdam', 'drive_to', 'Zaanstad'), ('Zaanstad', 'cycle_to', 'Bergen op Zoom')), (('Sittard', 'cycle_to', 'Groningen'), ('Groningen', 'drive_to', 'Emmen'), ('Emmen', 'train_to', 'Middelburg'))]

Invalid graphs:
Count: 0
Sample: []


  Avg total bits:                   30.49

=== Autoregressive Compression Evaluation ===
Token 1 (id=50): bits = 0.835, entropy = 2.166
Token 2 (id=53): bits = 0.042, entropy = 0.198
Token 3 (id=15): bits = 0.921, entropy = 2.251
Token 4 (id=15): bits = 0.000, entropy = 0.001
Token 5 (id=52): bits = 0.282, entropy = 0.677
Token 6 (id=4): bits = 1.331, entropy = 3.237
Token 7 (id=4): bits = 0.000, entropy = 0.001
Token 8 (id=54): bits = 0.000, entropy = 0.000
Token 9 (id=51): bits = 0.679, entropy = 2.513
Token 10 (id=2): bits = -0.000, entropy = 0.000
Token 1 (id=11): bits = 0.010, entropy = 0.070
Token 2 (id=53): bits = 0.435, entropy = 0.830
